number          |    site_ID          |  site_type          |  longitude          |   latitude          | site_deployment_year          |    cell_ID          | configuration          |       band          |         BW          | cell_range_km          | cell_direction_az          | cell_capacity_Mbps          | cell_throughput_Mbps          | cell_deployment_year          | owned_transmission
1		|		s2		|		rent_rooftop		|		-150.00000		|		-1299.03811		|		1998		|		Eca6#70		|		EUTRAN@2600+2100+1800, LTE-A, R13, CA, 20+20+20 MHz, 256 QAM, 2x2 MIMO, 690 Mbps		|		2.6		2.1		1.8		|		20.000		20.000		20.000		|		0.250		|		90.000		|		120.162963867187500		|		4.309969854884537		|		2016		|		1
1		|		s2		|		rent_rooftop		|		-150.00000		|		-1299.03811		|		1998		|		Eca6#71		|		EUTRAN@2600+2100+1800, LTE-A, R13, CA, 20+20+20 MHz, 256 QAM, 2x2 MIMO, 690 Mbps		|		2.6		2.1		1.8		|		20.000		20.000		20.000		|		0.250		|		210.000		|		120.162963867187500		|		21.652068130848836		|		2016		|		1
1		|		s2		|		rent_rooftop		|		-150.00000		|		-1299.03811		|		1998		|		Eca6#72		|		EUTRAN@2600+2100+1800, LTE-A, R13, CA, 20+20+20 MHz, 256 QAM, 2x2 MIMO, 690 Mbps		|		2.6		2.1		1.8		|		20.000		20.000		20.000		|		0.250		|		330.000		|		120.162963867187500		|		23.607879144176135		|		2016		|		1
2		|		s3		|		rent_tower		|		0.00000		|		597.55753		|		1997		|		Eca1#40		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		90.000		|		59.509277343750000		|		2.455949604065140		|		2015		|		1
2		|		s3		|		rent_tower		|		0.00000		|		597.55753		|		1997		|		Eca1#41		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		210.000		|		59.509277343750000		|		2.001415406620490		|		2015		|		1
2		|		s3		|		rent_tower		|		0.00000		|		597.55753		|		1997		|		Eca1#42		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		330.000		|		59.509277343750000		|		0.436935266837314		|		2015		|		1
3		|		s4		|		owned_rooftop		|		1035.00000		|		-597.55753		|		2009		|		Eca1#64		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		90.000		|		59.509277343750000		|		2.373019625565556		|		2015		|		0
3		|		s4		|		owned_rooftop		|		1035.00000		|		-597.55753		|		2009		|		Eca1#65		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		210.000		|		59.509277343750000		|		3.557276635769093		|		2015		|		0
3		|		s4		|		owned_rooftop		|		1035.00000		|		-597.55753		|		2009		|		Eca1#66		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		330.000		|		59.509277343750000		|		0.339247738829122		|		2015		|		0
4		|		s7		|		rent_rooftop		|		150.00000		|		-779.42286		|		1997		|		Eca6#28		|		EUTRAN@2600+2100+1800, LTE-A, R13, CA, 20+20+20 MHz, 256 QAM, 2x2 MIMO, 690 Mbps		|		2.6		2.1		1.8		|		20.000		20.000		20.000		|		0.250		|		90.000		|		120.162963867187500		|		0.847727097939945		|		2016		|		0
